,ID,Country,Affiliation or university,Academic discipline,Career stage / position,How did you find out about this workshop?,Attendance/participation type,Stream only or also exercise group? Video or in-person?,Which days you plan to attend?,Registration date,Registration state
15,159,Finland,Aalto university,"Electrical Engineering, Electronic Engineering, Information Engineering",Graduate student,Another event,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-12 11:33:59.529599+00:00,Completed
16,138,Spain,Universidad Autónoma de Madrid,Biological Sciences,Graduate student,Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-07 10:06:52.581099+00:00,Completed
17,16,Norway,UiT The Arctic University of Norway,Chemical Sciences,Research software engineer,Another event,Organizer,I am an organizer or instructor or observer,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-07-04 07:35:21.871298+00:00,Completed
18,33,Sweden,Lund University,Physical Sciences,Researcher,Educational institute,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-07-05 13:36:55.988441+00:00,Completed
19,130,Netherlands,Erasmus University,Health Sciences,Graduate student,Twitter,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-06 09:23:06.345115+00:00,Completed
20,215,Spain,Universidad Autónoma de Madrid,Health Sciences,Researcher,Friend / Colleague,Learner,I would like to get more information and decide later,"Not sure I can attend, but please keep me informed",2022-09-18 20:06:39.054733+00:00,Completed
21,100,Finland,Aalto University,Mechanical Engineering,Postdoc,Educational institute,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-30 12:43:39.778056+00:00,Completed
22,57,Sweden,Uppsala university,Physical Sciences,,CodeRefinery.org,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-10 01:44:25.043935+00:00,Completed
23,236,Netherlands,Vrije Universiteit Amsterdam,,Graduate student,Educational institute,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-20 07:05:57.940079+00:00,Completed
24,64,Norway,University of Oslo,Psychology,Researcher,Friend / Colleague,Observer,Watching stream and participate in online exercise group (Code Refinery Zoom),"Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-15 09:21:59.723386+00:00,Completed
25,216,Finland,Aalto university,Computer and Information Sciences,Graduate student,Twitter,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-19 06:46:57.163921+00:00,Completed
26,180,Ireland,Trinity College Dublin,Chemical Sciences,Graduate student,Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-14 11:06:41.723530+00:00,Completed
27,95,Norway,University of Oslo,,,Educational institute,Observer,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-30 07:45:48.199205+00:00,Completed
28,200,Spain,University of the Basque Country,Physical Sciences,Graduate student,Friend / Colleague,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-16 11:58:03.689263+00:00,Completed
29,133,Denmark,Technical University of Denmark,Physical Sciences,Postdoc,CodeRefinery.org,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-07 07:17:30.475167+00:00,Completed
30,132,Turkey,ForteArGe,,,,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5)",2022-09-06 18:39:12.863775+00:00,Completed
31,174,Finland,Aalto University,Computer and Information Sciences,Graduate student,Educational institute,Observer,I would like to watch and exercise with others in-person,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-13 14:47:54.023656+00:00,Completed
32,119,Sweden,Uppsala University,Computer and Information Sciences,Other,CodeRefinery.org; National HPC center; Friend / Colleague,Exercise leader,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-02 09:05:08.711714+00:00,Completed
33,106,United Kingdom,University of Oxford,Chemical Sciences,Other,Twitter; Educational institute; National HPC center,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3)",2022-08-31 14:00:30.206803+00:00,Completed
34,78,Netherlands,University of Twente,Physical Sciences,Graduate student,Educational institute,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-23 13:06:09.629019+00:00,Completed
35,208,Denmark,Technical University of Denmark,Mathematics,Graduate student,Twitter,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-17 14:24:42.880333+00:00,Completed
36,110,Finland,Aalto University,,Research software engineer,,Instructor,I am an organizer or instructor or observer,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-02 07:53:35.894697+00:00,Completed
37,122,Brazil,Independent Researcher,Biological Sciences,Researcher,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-02 12:00:56.108241+00:00,Completed
38,28,Sweden,Karolinska Institutet,Other Medical and Health Sciences,Researcher,CodeRefinery.org; Educational institute; Friend / Colleague,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-07-04 12:39:43.466447+00:00,Completed
39,186,Sweden,SMHI,Earth and Related Environmental Sciences,,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Thu, Sep 22 (Day 3); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-15 08:01:27.926997+00:00,Completed
40,198,Norway,Norwegian Metrology Service - Justervesenet,"Electrical Engineering, Electronic Engineering, Information Engineering",Researcher,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-16 09:58:13.463251+00:00,Completed
41,82,Iran,university of mazandaran,Chemical Sciences,Professor,Another event,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-25 15:26:19.286196+00:00,Completed
42,165,Trinidad & Tobago,Cukurova University,Chemical Sciences,Professor,,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3)",2022-09-13 06:17:05.532915+00:00,Completed
43,204,Spain,University of Navarra,Psychology,Professor,Twitter,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6); Not sure I can attend, but please keep me informed",2022-09-17 07:50:32.543770+00:00,Completed
44,91,Norway,University of South Eastern Norway,Other Social Sciences,Other,Another event,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-29 08:06:31.549593+00:00,Completed
45,85,Norway,university of oslo,Computer and Information Sciences,Research software engineer,National HPC center,Learner,I would like to watch and exercise with others in-person,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-26 07:46:40.903348+00:00,Completed
46,104,Italy,Università di Modena e Reggio Emilia,Physical Sciences,Professor,CodeRefinery.org; National HPC center,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-31 06:38:09.663773+00:00,Completed
47,49,Spain,IQM - CSIC,Chemical Sciences,Graduate student,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-07-13 09:38:10.894287+00:00,Completed
48,53,Sweden,Chalmers University of Technology,Mechanical Engineering,Other,CodeRefinery.org,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-03 10:16:46.724072+00:00,Completed
49,242,India,"GSFC University, Vadodara",Physical Sciences,Professor,CodeRefinery.org,Learner,I would like to get more information and decide later,"Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-20 11:14:11.706454+00:00,Completed
50,66,Italy,University of Bologna,Mechanical Engineering,Graduate student,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-16 15:28:23.929609+00:00,Completed
51,36,Norway,NTNU,Mechanical Engineering,Postdoc,Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-07-07 09:11:07.729633+00:00,Completed
52,181,Ireland,Trinity College Dublin,Chemical Sciences,Graduate student,Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-14 11:06:42.553087+00:00,Completed
53,193,Sweden,Lund University,Biological Sciences,Postdoc,National HPC center,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-15 17:21:41.865591+00:00,Completed
54,43,India,Indian Institute of Technology Kharagpur,Chemical Sciences,Researcher,Twitter,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-07-11 15:43:36.082566+00:00,Completed
55,145,Sweden,Uppsala University,"Electrical Engineering, Electronic Engineering, Information Engineering",Other,Educational institute; National HPC center,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-09 16:55:20.066438+00:00,Completed
56,93,Sweden,Lund University,Clinical Medicine,Researcher,Educational institute,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-29 09:31:47.383752+00:00,Completed
57,112,Finland,Aalto University,Health Sciences,Research software engineer,CodeRefinery.org,Organizer,I am an organizer or instructor or observer,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-02 07:55:55.409419+00:00,Completed
58,184,Finland,University of Turku,Biological Sciences,Postdoc,Educational institute,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-14 19:35:35.792540+00:00,Completed
59,189,Greece,University of Ioannina,Computer and Information Sciences,Professor,National HPC center,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-15 13:44:35.379697+00:00,Completed
60,173,Finland,Aalto University,Computer and Information Sciences,Graduate student,Another event,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-13 13:01:49.421190+00:00,Completed
61,238,Norway,University of Bergen,Earth and Related Environmental Sciences,Postdoc,National HPC center,Learner,Only watching the stream,"Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-20 07:30:47.856588+00:00,Completed
62,121,Indonesia,University of Indonesia,,,,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-02 11:40:54.893298+00:00,Completed
63,171,Finland,Aalto University,"Electrical Engineering, Electronic Engineering, Information Engineering",Postdoc,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-13 10:11:12.935363+00:00,Completed
64,120,Finland,Aalto University,Computer and Information Sciences,Graduate student,Educational institute,Learner,I would like to get more information and decide later,"Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-02 10:48:36.335407+00:00,Completed
65,116,Sweden,KTH,Physical Sciences,Research software engineer,Friend / Colleague,Instructor,I am an organizer or instructor or observer,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-02 08:06:29.063001+00:00,Completed
66,102,Norway,Norwegian University of Science and Technology,Mathematics,Graduate student,Educational institute,Learner,Only watching the stream,"Not sure I can attend, but please keep me informed",2022-08-30 13:52:02.572488+00:00,Completed
67,230,Norway,UiT - Arctic University of Norway,Computer and Information Sciences,Researcher,Friend / Colleague,Learner,Only watching the stream,"Not sure I can attend, but please keep me informed",2022-09-19 12:24:20.857794+00:00,Completed
68,38,Sweden,Karlstad University,Biological Sciences,Graduate student,Twitter,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4)",2022-07-08 09:17:33.949231+00:00,Completed
69,123,Finland,University of Helsinki,Biological Sciences,Researcher,National HPC center,Learner,I would like to get more information and decide later,"Not sure I can attend, but please keep me informed",2022-09-02 12:37:50.073849+00:00,Completed
70,233,Sweden,Stockholm University,Physical Sciences,Graduate student,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5)",2022-09-19 18:18:18.529565+00:00,Completed
71,203,Italy,The university of Trento,Other Medical and Health Sciences,Other,Twitter,Learner,Only watching the stream,"Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Thu, Sep 29 (Day 6)",2022-09-17 06:34:14.120837+00:00,Completed
72,56,Finland,University of Turku,,,CodeRefinery.org,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-08 15:03:35.377659+00:00,Completed
73,221,Canada,University of Toronto,Physical Sciences,Graduate student,Another event,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5)",2022-09-19 07:28:22.517762+00:00,Completed
74,245,Sweden,SMHI,Earth and Related Environmental Sciences,Researcher,National HPC center; Friend / Colleague,Learner,I would like to get more information and decide later,"Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-21 06:46:21.564807+00:00,Completed
75,44,Ireland,Trinity college Dublin,Chemical Sciences,Graduate student,Twitter,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-07-11 18:28:43.571432+00:00,Completed
76,114,Sweden,Uppsala University,Physical Sciences,Research software engineer,Friend / Colleague,Expert helper,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3)",2022-09-02 07:58:55.376964+00:00,Completed
77,117,Finland,CSC – IT Center For Science LTD.,Chemical Sciences,Industry,Twitter; CodeRefinery.org; National HPC center; Friend / Colleague; Another event,Organizer,I am an organizer or instructor or observer,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-02 08:33:47.651261+00:00,Completed
78,70,Spain,Barcelona Supercomputing Center,Computer and Information Sciences,Research software engineer,Educational institute; Another event,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-18 09:57:48.232187+00:00,Completed
79,46,Finland,University of Turku,Biological Sciences,Graduate student,National HPC center,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-07-12 08:35:09.282842+00:00,Completed
80,219,Sweden,Karolinska Institutet,Biological Sciences,Graduate student,National HPC center,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-19 07:08:58.011171+00:00,Completed
